Have you ever taken a course in statistics?,Do you have any previous experience with programming?,What's your interest in data science?,"Just for fun, do you prefer dogs or cat?"
"Yes, but I've forgotten everything",I have a little bit of experience,It will help me in my current job,Dogs ?¶
Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,It will help me in my current job,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,It will help me in my current job,Dogs ?¶
Yep,Nope,It will help me in my current job,Both ?±?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,It will help me in my current job,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,It will help me in my current job,Neither ?…
Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,It will help me in my current job,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Cats ?±
Yep,I have a whole lot of experience,I want to get a job where I use data science,Cats ?±
Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have a whole lot of experience,Just curious,Neither ?…
"Yes, but I've forgotten everything",I have a little bit of experience,Just curious,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have a little bit of experience,It will help me in my current job,Dogs ?¶
"Yes, but I've forgotten everything",I have a whole lot of experience,It will help me in my current job,Dogs ?¶
Nope,I have quite a bit of experience,I want to get a job where I use data science,Neither ?…
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Nope,I have a whole lot of expereince,It will help me in my current job,Dogs ?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,Nope,I want to get a job where I use data science,Dogs ?¶
Nope,I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Neither ?…
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Cats ?±
Yep,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,other,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have a little bit of experience,Just curious,Neither ?…
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have quite a bit of experience,Just curious,Dogs ?¶
Nope,I have a whole lot of experience,I want to get a job where I use data science,Neither ?…
Yep,I have a whole lot of experience,Just curious,Neither ?…
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Nope,I have a little bit of experience,other,Dogs ?¶
Yep,I have quite a bit of experience,It will help me in my current job,Both ?±?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a whole lot of experience,It will help me in my current job,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Nope,I have a whole lot of experience,Just curious,Both ?±?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Yep,I have quite a bit of experience,It will help me in my current job,Dogs ?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Neither ?…
"Yes, but I've forgotten everything",Nope,I want to get a job where I use data science,Dogs ?¶
Yep,I have a little bit of experience,It will help me in my current job,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Cats ?±
Nope,I have quite a bit of experience,It will help me in my current job,Cats ?±
Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Yep,I have a little bit of experience,It will help me in my current job,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,It will help me in my current job,Both ?±?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have quite a bit of experience,It will help me in my current job,Neither ?…
Yep,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Nope,I have a whole lot of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have quite a bit of experience,It will help me in my current job,Both ?±?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a little bit of experience,It will help me in my current job,Both ?±?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
"Yes, but I've forgotten everything",I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,Just curious,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,Nope,I want to get a job where I use data science,Both ?±?¶
Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,Nope,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Neither ?…
Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have quite a bit of experience,It will help me in my current job,Both ?±?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,It will help me in my current job,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
Nope,Nope,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,other,Dogs ?¶
Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,It will help me in my current job,Neither ?…
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Nope,I have a whole lot of experience,Just curious,Cats ?±
Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Nope,I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Nope,I have a little bit of experience,Just curious,Both ?±?¶
Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Neither ?…
Nope,Nope,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,other,Dogs ?¶
Yep,I have quite a bit of experience,It will help me in my current job,Both ?±?¶
"Yes, but I've forgotten everything",I have a little bit of experience,It will help me in my current job,Dogs ?¶
"Yes, but I've forgotten everything",I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,It will help me in my current job,Dogs ?¶
Nope,I have quite a bit of experience,other,Dogs ?¶
Nope,I have a whole lot of experience,Just curious,Cats ?±
Nope,Nope,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a little bit of experience,It will help me in my current job,Cats ?±
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
Nope,I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,Nope,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a whole lot of experience,I want to get a job where I use data science,Cats ?±
Yep,I have a little bit of experience,I want to get a job where I use data science,Neither ?…
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,Just curious,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a little bit of experience,Just curious,Cats ?±
"Yes, but I've forgotten everything",I have a little bit of experience,Just curious,Neither ?…
"Yes, but I've forgotten everything",I have quite a bit of experience,Just curious,Both ?±?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Neither ?…
Yep,I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,Just curious,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have a whole lot of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Neither ?…
Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have a little bit of experience,Just curious,Cats ?±
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Both ?±?¶
"Yes, but I've forgotten everything",I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have quite a bit of experience,I want to get a job where I use data science,Both ?±?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,Nope,It will help me in my current job,Dogs ?¶
Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have quite a bit of experience,Just curious,Dogs ?¶
Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
Nope,I have quite a bit of experience,It will help me in my current job,Both ?±?¶
Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have quite a bit of experience,I want to get a job where I use data science,Dogs ?¶
"Yes, but I've forgotten everything",I have a little bit of experience,It will help me in my current job,Dogs ?¶
Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs ?¶
Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats ?±
